,Site,Year,Week,x
1,Allanfearn,2021,01,31.6033333333333
2,Allers,2021,01,53.99
3,Alloa,2021,01,62.8433333333333
4,Annan,2021,01,584.5
5,Armadale,2021,01,6.35
6,Bathgate,2021,01,7.96
7,Biggar,2021,01,21.42
8,Blackburn,2021,01,49.4066666666667
9,Blackridge,2021,01,4.32
10,Blackwood,2021,01,88.03
11,Bothwellbank,2021,01,38.31
12,Carbarns,2021,01,49.2
13,Dalbeattie,2021,01,0.44
14,Daldowie,2021,01,355.85
15,Dalmuir,2021,01,43.62
16,Dalscone,2021,01,NA
17,Dunfermline,2021,01,41.99
18,Dunnswood,2021,01,67.96
19,East Calder,2021,01,37.64
20,Falkirk,2021,01,31.62
21,Fauldhouse,2021,01,30.39
22,Fort William,2021,01,0.2
23,Galashiels,2021,01,4.84
24,Hamilton,2021,01,18.79
25,Harthill,2021,01,11.32
26,Hatton,2021,01,39.88
27,Hawick,2021,01,82.89
28,Helensburgh,2021,01,53.08
29,Inverclyde,2021,01,117.89
30,Kirkwall,2021,01,0.486666666666667
31,Lanark,2021,01,50.41
32,Lerwick,2021,01,0.22
33,Levenmouth,2021,01,27.0525
34,Linlithgow,2021,01,44.02
35,Lockerbie,2021,01,9.895
36,Mauldslie,2021,01,26.17
37,Maybole,2021,01,NA
38,Meadowhead,2021,01,64.3166666666667
39,Nairn,2021,01,7.32
40,New Cumnock,2021,01,106.73
41,Nigg,2021,01,70.52
42,Peebles,2021,01,7.84
43,Philipshill,2021,01,31.11
44,Seafield,2021,01,96.64
45,Shieldhall,2021,01,57.8025
46,Shotts,2021,01,31.04
47,Stirling,2021,01,14.93
48,Stonehouse,2021,01,20.74
49,Stornoway,2021,01,0.96
50,Strathaven,2021,01,27.14
51,Swinstie,2021,01,162.91
52,Troqueer,2021,01,46.34
53,Whitburn,2021,01,37.81
54,Winchburgh,2021,01,10.98
55,Allanfearn,2022,01,59.875
56,Allers,2022,01,NA
57,Alloa,2022,01,155.885
58,Alva,2022,01,197.13
59,Annan,2022,01,35.41
60,Ardoch,2022,01,77.065
61,Armadale,2022,01,969.04
62,Banchory,2022,01,66.42
63,Banff,2022,01,35.94
64,Bathgate,2022,01,50.52
65,Blackburn,2022,01,49.17
66,Blackridge,2022,01,15.41
67,Blackwood,2022,01,44.99
68,Blairgowrie,2022,01,63.12
69,Boness,2022,01,163.58
70,Bothwellbank,2022,01,182.94
71,Bowhouse,2022,01,122.78
72,Buckie,2022,01,30.11
73,Carbarns,2022,01,90.94
74,Cumnock,2022,01,210.82
75,Cupar,2022,01,152.85
76,Dalbeattie,2022,01,NA
77,Daldowie,2022,01,139.52
78,Dalmuir,2022,01,113.57
79,Dalmuir - Auchinairn (6298),2022,01,288.56
80,Dalmuir - Auchinairn (6330),2022,01,54.48
81,Denny,2022,01,112.51
82,Dunblane,2022,01,213.055
83,Dunfermline,2022,01,85.63
84,Dunoon,2022,01,29.56
85,East Calder,2022,01,111.965
86,Erskine,2022,01,108.293333333333
87,Eyemouth,2022,01,102.13
88,Falkirk,2022,01,118.53
89,Fauldhouse,2022,01,63.29
90,Forfar,2022,01,177.5
91,Fort William,2022,01,33.67
92,Galashiels,2022,01,41.87
93,Girvan,2022,01,75.29
94,Guardbridge,2022,01,22.76
95,Haddington,2022,01,58.005
96,Hamilton,2022,01,120.54
97,Harthill,2022,01,56.04
98,Hatton,2022,01,114.675
99,Hatton - Fintry East,2022,01,321.74
100,Hatton - Fintry North,2022,01,106.88
101,Hatton - Fintry West,2022,01,NA
102,Hawick,2022,01,85.65
103,Helensburgh,2022,01,221.49
104,Huntly,2022,01,21.15
105,Inverclyde,2022,01,113.62
106,Inverclyde - Gourock,2022,01,137.34
107,Inverurie,2022,01,101.52
108,Ironmill Bay,2022,01,112.285
109,Jedburgh,2022,01,18.06
110,Kelso,2022,01,49.77
111,Kinneil,2022,01,59.11
112,Kirkcaldy,2022,01,164.585
113,Kirkwall,2022,01,87.99
114,Lanark,2022,01,36.26
115,Langholm,2022,01,44.59
116,Largs,2022,01,69.93
117,Lerwick,2022,01,NA
118,Lesmahagow,2022,01,97.13
119,Levenmouth,2022,01,107.085
120,Linlithgow,2022,01,118.48
121,Lockerbie,2022,01,NA
122,Lossiemouth,2022,01,64.8666666666667
123,Mauldslie,2022,01,28.4
124,Maybole,2022,01,188.23
125,Meadowhead,2022,01,62.34
126,Meadowhead - Kilmarnock HMP,2022,01,0
127,Montrose,2022,01,34.315
128,Neilston,2022,01,168.465
129,New Cumnock,2022,01,564.99
130,Newbridge,2022,01,71.04
131,Newburgh,2022,01,241.72
132,Newport & Tayport,2022,01,93.81
133,Newtown St Boswell,2022,01,109.04
134,Nigg,2022,01,145.335
135,Paisley,2022,01,102.855
136,Paisley - Blackhall,2022,01,54.04
137,Paisley - Brediland,2022,01,0
138,Peebles,2022,01,52.07
139,Penicuik,2022,01,152.59
140,Perth,2022,01,187.06
141,Philipshill,2022,01,49.275
142,Seafield,2022,01,131.03
143,Seafield - Cockenzie,2022,01,300.56
144,Seafield - Craigmillar,2022,01,NA
145,Seafield - Muirhouse,2022,01,NA
146,Seafield - Restalrig,2022,01,NA
147,Selkirk,2022,01,40.52
148,Shieldhall,2022,01,40.7733333333333
149,Shieldhall - Barrhead,2022,01,105.82
